"施設名","エリア記号","掲載区分","カテゴリ","住所","電話番号","公式サイトURL","パークへのアクセス(主)","もう一方のパークへのアクセス","パーク間移動・補足","屋根付き移動","予備1","予備2","予備3","空港リムジン停留所","最寄りJR駅","JR駅への徒歩アクセス","パークへの路線バス・モノレール","パークへの徒歩","浦安/新浦安駅方面バス","都心へのアクセス","羽田空港へ","成田空港へ","コンビニ・売店","スーパー","客室","大浴場","コインランドリー","駐車場","荷物預かり","朝食","チェックイン/アウト","Wi-Fi・多言語対応","概要・特徴","価格帯","キャッチコピー","最終更新日","英語表記","中国語表記","韓国語表記","英語公式URL","中国語公式URL","韓国語公式URL","slug","緯度","経度","機能フラグ","最低価格","特徴ラベル","表示名","館内店舗ID","最寄コンビニID","最寄ドラッグID","最寄スーパーID","楽天トラベルURL","じゃらんURL","BookingURL","AgodaURL"
"浦安サンホテル","F","通常掲載","その他のホテル","〒279-0001 千葉県浦安市当代島1-19-13","047-382-8811","https://urayasu-sun-hotel.com/","浦安駅前バス停から京成バス千葉ウエストで約20分。専用シャトルなし","TDL/TDSとも浦安駅前バス経由","専用シャトルなし","なし","","","","浦安駅→日本橋経由で羽田（専用リムジンなし）","浦安駅（東京メトロ東西線）","浦安駅から徒歩約3分","路線バス（浦安駅前）","要確認","浦安駅前バス停から京成バス千葉ウエスト","東西線快速で大手町まで約15〜17分","浦安駅→日本橋→都営浅草線/京急で羽田まで約60分","要確認","周辺コンビニあり","要確認","部屋タイプ・定員は公式サイト要確認。客室内無料Wi-Fi","なし","2Fに洗濯機2台・乾燥機2台（有料・洗剤販売あり）","先着順10台・1泊900円","あり（フロント預かり）","毎朝6:00から無料コンチネンタルブレックファスト（パン・サラダ・コーヒー・ジュース等）","IN15:00（最終チェックイン0:30） / OUT10:00","客室内無料Wi-Fi","無料朝食・24時間フロント・コインランドリーの3点セット。デイユース8,800円〜","1室 約5,000円〜（変動制／デイユース8,800円〜）","無料朝食・24時間フロント・コインランドリーの3点セット","2026-06-17","Urayasu Sun Hotel","","","https://www.urayasu-sun-hotel.com/english/","","","urayasu-sun-hotel","35.665574","139.890164","laundry;station","5000","無料朝食・24時間フロント","浦安サンホテル","","","","","https://hb.afl.rakuten.co.jp/hgc/5555fa03.3f01cc2a.5555fa04.2c37c5e2/?pc=https%3A%2F%2Ftravel.rakuten.co.jp%2FHOTEL%2F143299%2F143299.html&link_type=hybrid_url&ut=eyJwYWdlIjoiaXRlbSIsInR5cGUiOiJoeWJyaWRfdXJsIiwic2l6ZSI6IjEwMHgxMDAiLCJuYW0iOjEsIm5hbXAiOiJyaWdodCIsImNvbSI6MSwiY29tcCI6ImRvd24iLCJwcmljZSI6MCwiYm9yIjoxLCJjb2wiOjEsImJidG4iOjEsInByb2QiOjAsImFtcCI6ZmFsc2V9","","",""
"M4 design hotel","D","名称・カテゴリのみ掲載","ファッションホテル","要確認","要確認","要確認","要確認","要確認","","","","","","要確認","新浦安エリア","要確認","","","","","","","","","","","","","","","","","掲載方針により名称・エリア・カテゴリのみ掲載","","","2026-06-26","","","","","","","m4-design-hotel","","","","","","M4 design hotel","","","","","","","",""
"ホテルリバーサイド東京ベイ","D","名称・カテゴリのみ掲載","ファッションホテル","要確認","要確認","要確認","要確認","要確認","","","","","","要確認","新浦安エリア","要確認","","","","","","","","","","","","","","","","","掲載方針により名称・エリア・カテゴリのみ掲載","","","2026-06-26","","","","","","","hotel-riverside-tokyo-bay","","","","","","ホテルリバーサイド東京ベイ","","","","","","","",""
"ホテルダイヤモンド","F","名称・カテゴリのみ掲載","ファッションホテル","要確認","要確認","要確認","要確認","要確認","","","","","","要確認","浦安駅エリア","要確認","","","","","","","","","","","","","","","","","掲載方針により名称・エリア・カテゴリのみ掲載","","","2026-06-26","","","","","","","hotel-diamond","","","","","","ホテルダイヤモンド","","","","","","","",""
"Premium hotel MONday 舞浜ビューⅠ","G","通常掲載","その他のホテル","〒134-0085 東京都江戸川区南葛西6-2-22","03-3804-3977","https://hotel-monday.com/maihama1/","TDRへ無料シャトルバス運行。葛西臨海公園駅からバス約7分「南葛西中学校前」下車徒歩約4分","TDL/TDSとも無料シャトル＋舞浜駅経由","無料シャトルでTDRへ直行","なし","","","","なし","葛西臨海公園駅（JR京葉線）","葛西臨海公園駅からバス約7分（南葛西中学校前下車徒歩約4分）","TDRへ無料シャトル運行","徒歩圏外","葛西臨海公園駅から京葉線で新浦安・舞浜へ","葛西臨海公園駅からJR京葉線で東京駅まで約15分","東京駅経由で約60分","要確認","近隣にコンビニあり（南葛西）","近隣にスーパーあり（南葛西）","全57室・最大約56㎡、4〜6名対応のファミリー/グループ向け","あり（5:00〜翌1:00・サウナ付）","要確認","あり（6台・屋外・3,000円/泊・予約制）","要確認","館内レストラン「GOOD PIZZA FACTORY K6」でビュッフェ（朝食付プランあり）","IN15:00〜26:00 / OUT11:00","客室Wi-Fi無料","2025年12月5日開業・5階建/全57室のアパートメント型ホテル。TDRへ無料シャトル運行、舞浜・東京・銀座方面へのアクセスも良好。","2名 11,000円〜（変動制）","2025年12月開業・TDR無料シャトル運行","2026-06-27","Premium hotel MONday Maihama View I","","","https://hotel-monday.com/maihama1/?wovn=en","","","premium-monday-maihama-view-1","35.644359","139.877470","bath:サウナ;shuttle","11000","2025年12月開業・TDR無料シャトル","Premium hotel MONday 舞浜ビューⅠ","","","","","","","",""
"ホテルシーサイド江戸川","G","通常掲載","その他のホテル","〒134-0086 東京都江戸川区臨海町6-2-2（葛西臨海公園内）","03-3804-1180","https://www.h-seaside.jp/","JR京葉線「葛西臨海公園」駅から舞浜まで1駅。駅徒歩3分","TDL/TDSとも舞浜駅→リゾートライン","TDR直通シャトルなし（JR京葉線で舞浜へ1駅）","なし","","","","なし","葛西臨海公園駅（JR京葉線）","JR京葉線葛西臨海公園駅から徒歩約3分","JR京葉線で舞浜へ1駅","徒歩圏外","JR京葉線で新浦安・舞浜方面へ","葛西臨海公園駅からJR京葉線で東京駅まで約15分","東京駅経由で約60分","要確認","葛西臨海公園内・周辺（要確認）","要確認（公園内立地）","全29室（特別/一般の洋室・和室。ベイエリアで希少な和室14室）","あり（男女各1の大浴場）","要確認","葛西臨海公園駐車場利用（宿泊者は駐車券無料処理・予約不可）","あり（クローク預かり。貴重品・前金不可）","朝食7:30〜9:00","IN14:00〜22:00 / OUT10:00","要確認","24万坪の葛西臨海公園内に建つアーバンリゾート。全29室・4タイプで和室14室あり。宿泊者用無料駐車場。葛西臨海公園駅徒歩3分。","2名 16,000円〜（変動制）","葛西臨海公園内・和室ありのベイリゾート","2026-06-27","Hotel Seaside Edogawa","","","https://www.h-seaside.jp/","","","hotel-seaside-edogawa","35.642820","139.859376","bath","16000","葛西臨海公園内・駅徒歩3分・和室あり","ホテルシーサイド江戸川","","","","","","","",""
"CVS・BAY HOTEL","G","通常掲載","その他のホテル","〒272-0127 千葉県市川市塩浜2-33-1（本館）","047-390-3300","https://cvs-bay-hotel.com/","JR京葉線「市川塩浜」駅隣接。舞浜駅まで2駅約6分（TDR直通シャトルなし）","TDL/TDSとも舞浜駅→リゾートライン","TDR直通シャトルなし（JR京葉線2駅）","なし","","","","なし","市川塩浜駅（JR京葉線）","JR京葉線市川塩浜駅に隣接（改札南口直近）","JR京葉線で舞浜まで2駅約6分","徒歩圏外","JR京葉線で新浦安1駅・舞浜2駅","JR京葉線で東京駅まで約22分","約65分","要確認","1Fにコンビニ","要確認","本館/ベイタワー/新館 計約256室。シングル〜ファミリー、女性専用カプセル(ユニット)あり","大浴場あり（現在利用停止中・要確認）","要確認","専用なし（提携タイムズ駐車場・1,500円目安・割引券）","要確認","朝食ビュッフェあり（プランによる）","IN15:00〜25:00 / OUT10:00","あり（全室LAN/Wi-Fi）","市川塩浜駅隣接のビジネスホテル。本館・新館。スタンダード〜ファミリー、女性専用カプセルもあり。無料朝食ビュッフェ。舞浜まで2駅6分。","2名 5,610円〜（カプセル3,600円〜）","市川塩浜駅隣接・舞浜2駅6分のコスパ宿","2026-06-27","CVS BAY HOTEL","","","https://cvs-bay-hotel.com/","","","cvs-bay-hotel","35.666803","139.923990","convenience","5610","市川塩浜駅隣接・舞浜2駅6分","CVS・BAY HOTEL","","","","","https://hb.afl.rakuten.co.jp/hgc/5555fa03.3f01cc2a.5555fa04.2c37c5e2/?pc=https%3A%2F%2Ftravel.rakuten.co.jp%2FHOTEL%2F84838%2F84838.html&link_type=hybrid_url&ut=eyJwYWdlIjoiaXRlbSIsInR5cGUiOiJoeWJyaWRfdXJsIiwic2l6ZSI6IjEwMHgxMDAiLCJuYW0iOjEsIm5hbXAiOiJyaWdodCIsImNvbSI6MSwiY29tcCI6ImRvd24iLCJwcmljZSI6MCwiYm9yIjoxLCJjb2wiOjEsImJidG4iOjEsInByb2QiOjAsImFtcCI6ZmFsc2V9","","",""
"ホテルイルフィオーレ葛西","G","通常掲載","その他のホテル","〒134-0084 東京都江戸川区東葛西6-5-8","03-3877-0888","https://hotelilfiore.com/","東京メトロ東西線「葛西」駅徒歩3分。TDRまで約25分","TDL/TDSとも舞浜駅→リゾートライン","TDR直通シャトルなし（京成バス・電車利用）","なし","","","","なし","葛西駅（東京メトロ東西線）","最寄りは東京メトロ東西線葛西駅（JR最寄りは葛西臨海公園駅）","葛西駅から京成バスでTDRへ約20分","徒歩圏外","東西線で浦安駅へ1駅（約2分）","東西線で大手町まで約20分・日本橋約18分","電車・バス乗継で約50〜60分","電車乗継で約70〜90分","葛西駅周辺にコンビニ多数","葛西駅周辺にスーパーあり（アリオ葛西等）","全128室。ハリウッドツイン/ツイン/ファミリー(最大4名)。小学生以下添寝無料","要確認（公式に記載なし）","あり","あり（10台・1,650円/泊・先着順予約不可）","要確認","朝食あり（15〜20時フリードリンク）","IN15:00 / OUT10:00","全室Wi-Fi無料","葛西駅徒歩3分・全128室。シングル〜最大5名ファミリールーム。レストラン・コインランドリー・駐車場約10台。15〜20時フリードリンク。TDRまで約25分。","2名 7,860円〜","葛西駅徒歩3分・ファミリー対応のデザイナーズ系","2026-06-27","Hotel Il Fiore Kasai","","","https://hotelilfiore.com/","","","hotel-ilfiore-kasai","35.662815","139.874746","laundry","7860","葛西駅徒歩3分・最大5名対応","ホテルイルフィオーレ葛西","","","","","","","",""
"ホテルイルフィオーレ葛西 ANNEX","G","通常掲載","その他のホテル","〒134-0084 東京都江戸川区東葛西6-1-7","03-6808-5220","https://hotelilfiore-annex.com/","東京メトロ東西線「葛西」駅徒歩3分。TDRまで約20分","TDL/TDSとも舞浜駅→リゾートライン","TDR直通シャトルなし（京成バス・電車利用）","なし","","","","なし","葛西駅（東京メトロ東西線）","最寄りは東京メトロ東西線葛西駅（JR最寄りは葛西臨海公園駅）","葛西駅から京成バスでTDRへ約20分","徒歩圏外","東西線で浦安駅へ1駅（約2分）","東西線で大手町まで約20分・日本橋約18分","電車・バス乗継で約50〜60分","電車乗継で約70〜90分","葛西駅周辺にコンビニ多数","葛西駅周辺にスーパーあり（アリオ葛西等）","ダブル/ハリウッドツイン/スタンダードツイン(最大4名)/デラックス(最大6名)","なし","あり（1F）","要確認","要確認","要確認（1Fフリードリンク・電子レンジ・自販機あり）","IN15:00〜24:00 / OUT10:00","全室Wi-Fi無料（1Fフリードリンクコーナー）","イルフィオーレ葛西の別館（ANNEX）。葛西駅徒歩3分、TDRまで約20分。","2名 5,500円〜（変動制）","葛西駅徒歩3分・イルフィオーレ別館","2026-06-27","Hotel Il Fiore Kasai ANNEX","","","https://hotelilfiore-annex.com/","","","hotel-ilfiore-kasai-annex","35.661294","139.873346","laundry","5500","葛西駅徒歩3分・イルフィオーレ別館","ホテルイルフィオーレ葛西 ANNEX","","","","","","","",""
"ホテルルミエール葛西","G","通常掲載","その他のホテル","〒134-0083 東京都江戸川区中葛西5-41-20","03-6663-2711","https://www.hotel-lumiere.jp/kasai/","東京メトロ東西線「葛西」駅徒歩約2分","TDL/TDSとも舞浜駅→リゾートライン","TDR直通シャトルなし（京成バス・電車利用）","なし","","","","なし","葛西駅（東京メトロ東西線）","最寄りは東京メトロ東西線葛西駅（JR最寄りは葛西臨海公園駅）","葛西駅から京成バスでTDRへ約20分","徒歩圏外","東西線で浦安駅へ1駅（約2分）","東西線で大手町まで約20分・日本橋約18分","電車・バス乗継で約50〜60分","電車乗継で約70〜90分","葛西駅周辺にコンビニ多数","葛西駅周辺にスーパーあり（アリオ葛西等）","シングル/ダブル/ツイン(電子レンジ・ミニキッチン付)","なし","あり（5F/8F/11F・洗濯機300円/乾燥機200円）","あり（機械式立体50台・1,500円/泊・予約制・車両サイズ制限）","あり（チェックイン前後対応）","1Fラウンジで無料朝食6:30〜10:00（パン・卵料理・サラダ等）","IN15:00 / OUT10:00","全館無料Wi-Fi","葛西駅徒歩約2分のビジネスホテル。駐車場あり。東西線で浦安・東京方面へアクセス良好。","2名 9,700円〜（朝食付・変動制）","葛西駅徒歩2分のビジネスホテル","2026-06-27","Hotel Lumiere Kasai","","","https://www.hotel-lumiere.jp/kasai/","","","hotel-lumiere-kasai","35.661161","139.872502","laundry","9700","葛西駅徒歩2分のビジネスホテル","ホテルルミエール葛西","","","","","","","",""
"ホテルリブマックス葛西駅前","G","通常掲載","その他のホテル","〒134-0084 東京都江戸川区東葛西6-1-3","03-3675-0600","https://www.hotel-livemax.com/tokyo/kasaist/","東京メトロ東西線「葛西」駅徒歩約3分。TDRへ京成バス約20分","TDL/TDSとも舞浜駅→リゾートライン","TDR直通シャトルなし（京成バス・電車利用）","なし","","","","なし","葛西駅（東京メトロ東西線）","最寄りは東京メトロ東西線葛西駅（JR最寄りは葛西臨海公園駅）","葛西駅から京成バスでTDRへ約20分","徒歩圏外","東西線で浦安駅へ1駅（約2分）","東西線で大手町まで約20分・日本橋約18分","約35分","電車乗継で約70〜90分","葛西駅周辺にコンビニ多数","葛西駅周辺にスーパーあり（アリオ葛西等）","全57室（シングル49/ツイン8）・11〜23㎡。電子レンジ・シャワートイレ完備","なし","あり（MAX WASH & CAFE・カフェ併設）","あり（裏手コインパーキング20台・最大2,100円/24h）","要確認","一時休止中（要確認）","IN15:00 / OUT10:00","無料Wi-Fiあり","リブマックス系列のビジネスホテル。葛西駅徒歩約3分、TDRへ京成バス約20分、東京駅まで約23分。","2名 5,000円〜（変動制）","葛西駅徒歩3分・TDRバス約20分","2026-06-27","HOTEL LiVEMAX Kasai-Ekimae","","","https://www.hotel-livemax.com/tokyo/kasaist/","","","livemax-kasai-ekimae","35.660810","139.873359","laundry","5000","葛西駅徒歩3分・TDRバス約20分","ホテルリブマックス葛西駅前","","","","","","","",""
"スーパーホテル東西線・市川・妙典駅前","G","通常掲載","その他のホテル","〒272-0111 千葉県市川市妙典4-4-27 妙典センタービル","047-397-9000","https://www.superhotel.co.jp/s_hotels/myoden/","東京メトロ東西線「妙典」駅前。東西線で浦安・舞浜方面へ","TDL/TDSとも舞浜駅経由","TDR直通シャトルなし（東西線→西船橋→京葉線 等）","なし","","","","なし","妙典駅（東京メトロ東西線）","東京メトロ東西線妙典駅から徒歩約2分","妙典駅→西船橋→JR京葉線で舞浜へ","徒歩圏外","東西線で浦安駅へ（約7分）","東西線で大手町まで約25分","約60分","要確認","妙典駅前にコンビニ・商業施設","妙典駅前に商業施設あり","要確認（全室ユニットバス）","なし（全室ユニットバス）","あり","あり（50台・先着順）","あり（当日・チェックアウト当日中）","無料朝食ビュッフェ（月〜土6:30〜8:30／日祝〜9:00・有機野菜・焼きたてパン）","IN15:00 / OUT10:00","あり（Wi-Fi）","スーパーホテル系列。妙典駅前で東西線により浦安・大手町方面へアクセス良好。健康朝食付きプランが中心。","1名 7,400円〜（朝食付・変動制）","妙典駅前・東西線で浦安へ","2026-06-27","Super Hotel Tozai Line Ichikawa-Myoden","","","https://www.superhotel.co.jp/s_hotels/myoden/","","","superhotel-myoden","35.691631","139.926597","laundry","7400","妙典駅前・東西線で浦安へ","スーパーホテル 市川・妙典駅前","","","","","https://hb.afl.rakuten.co.jp/hgc/5555fa03.3f01cc2a.5555fa04.2c37c5e2/?pc=https%3A%2F%2Ftravel.rakuten.co.jp%2FHOTEL%2F40250%2F40250.html&link_type=hybrid_url&ut=eyJwYWdlIjoiaXRlbSIsInR5cGUiOiJoeWJyaWRfdXJsIiwic2l6ZSI6IjEwMHgxMDAiLCJuYW0iOjEsIm5hbXAiOiJyaWdodCIsImNvbSI6MSwiY29tcCI6ImRvd24iLCJwcmljZSI6MCwiYm9yIjoxLCJjb2wiOjEsImJidG4iOjEsInByb2QiOjAsImFtcCI6ZmFsc2V9","","",""
"GRAND MONday Resort 東京ベイ舞浜","B","名称・カテゴリのみ掲載","その他のホテル","千葉県浦安市千鳥15-9","03-6453-0144","https://hotel-monday.com/resort/maihama/","舞浜駅まで無料シャトル約9分（6〜23時運行）","","","","","","","","舞浜駅（JR京葉線・無料シャトル約9分）","","","","","","","","","","","","","","","","","","2026年7月18日開業予定・全140室すべてオーシャンフロント。通年営業ラグーンプール「MAIHAMA LAGOON」、バレルサウナ、大浴場、キッズプール、プールサイドBBQを備えるアーバンリゾート。運営はhotel MONday Group（株式会社JHAT）。舞浜駅まで無料シャトル約9分。","予約サイトで要確認（2026年7月18日開業予定）","舞浜唯一の全室オーシャンフロント×通年ラグーンプール","2026-06-27","GRAND MONday Resort Tokyo Bay Maihama","","","https://hotel-monday.com/resort/maihama/?wovn=en","","","grand-monday-resort-maihama","","","","","2026年7月18日開業予定・全室オーシャンフロント","GRAND MONday Resort 東京ベイ舞浜","","","","","","","",""
